ID;zeile_inhalt;zeile_inhalt_orig;extracted_data_id;zeile_inhalt_ohne_treffer;Verein_DRVID;Verein;gefunden_am
150;4 - Boot 1 - 01:41.48 3;4 RG Wetzlar - Boot 1 - 01:41.48 3;519;4 - Boot 1 - 01:41.48 3;11647;RG Wetzlar;2025-11-29 07:36:29
151;1 01:40.77 7;1 RG Eberbach 01:40.77 7;523;1 01:40.77 7;11004;RG Eberbach;2025-11-29 07:36:29
152;2 01:41.13 9;2 RG Eberbach 01:41.13 9;525;2 01:41.13 9;11004;RG Eberbach;2025-11-29 07:36:29
153;3 - Boot 2 - 01:41.46 8;3 Hanauer RC Hassia - Boot 2 - 01:41.46 8;527;3 - Boot 2 - 01:41.46 8;11626;Hanauer RC Hassia;2025-11-29 07:36:29
154;4 - Boot 1 - 01:44.19 6;4 Wormser RC - Boot 1 - 01:44.19 6;529;4 - Boot 1 - 01:44.19 6;12038;Wormser RC;2025-11-29 07:36:29
155;1 01:47.17 11;1 RC Aschaffenburg 01:47.17 11;533;1 01:47.17 11;11101;RC Aschaffenburg;2025-11-29 07:36:29
156;2 01:52.49 13;2 Offenbacher RG Undine 01:52.49 13;535;2 01:52.49 13;11641;Offenbacher RG Undine;2025-11-29 07:36:29
157;1 01:44.89 16;1 Frankfurter RG Oberrad 01:44.89 16;539;1 01:44.89 16;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
158;2 01:46.34 15;2 Limburger ClfW 01:46.34 15;541;2 01:46.34 15;11635;Limburger ClfW;2025-11-29 07:36:29
159;3 - Boot 2 - 01:49.81 14;3 Nassovia Höchst - Boot 2 - 01:49.81 14;543;3 - Boot 2 - 01:49.81 14;11612;Nassovia Höchst;2025-11-29 07:36:29
160;1 01:46.89 20;1 Frankfurter RC 01:46.89 20;547;1 01:46.89 20;11616;Frankfurter RC;2025-11-29 07:36:29
161;2 am Main-Bürgel - Boot 3 - 01:49.41 21;2 WSV Offenbach am Main-Bürgel - Boot 3 - 01:49.41 21;549;2 am Main-Bürgel - Boot 3 - 01:49.41 21;11642;WSV Offenbach;2025-11-29 07:36:29
